id,text_no_spaces,text_with_spaces,predicted_positions
0,куплюайфон14про,куплю айфон 14 про,"[5, 10, 12]"
1,ищудомвПодмосковье,ищу домвПодмосковье,[3]
2,сдаюквартирусмебельюитехникой,сдаю квартиру с мебелью и техникой,"[4, 12, 13, 20, 21]"
3,новыйдивандоставканедорого,новый диван доставка не дорого,"[5, 10, 18, 20]"
4,отдамдаромкошку,отдам даром кошку,"[5, 10]"
5,работавМосквеудаленно,работавМоскве удаленно,[13]
6,куплютелевизорPhilips,куплю телевизор Philips,"[5, 14]"
7,ищугрузчиковдляпереезда,ищу грузчиков для переезда,"[3, 12, 15]"
8,ремонтквартирподключ,ремонт квартир подключ,"[6, 13]"
9,куплюноутбукHP,куплю ноутбук HP,"[5, 12]"
10,ищуквартирууметро,ищу квартиру у метро,"[3, 11, 12]"
11,новаямикроволновкаSamsung,новая микроволновка Samsung,"[5, 18]"
12,срочнопродамвелосипед,срочно продам велосипед,"[6, 12]"
13,куплюгитаруFender,куплю гитару Fender,"[5, 11]"
14,ищурепетиторапобиологии,ищу репетитора по биологии,"[3, 13, 15]"
15,сдаюгаражнадлительныйсрок,сдаю гаражна длительный срок,"[4, 11, 21]"
16,куплюдиванбу,куплю диван бу,"[5, 10]"
17,ищумастерапоремонтухолодильников,ищу мастера по ремонту холодильников,"[3, 10, 12, 19]"
18,новыйшкафдоставкасегодня,новый шкаф доставка сегодня,"[5, 9, 17]"
19,куплюXboxOne,куплю XboxOne,[5]
20,ищуподработкуповечерам,ищу подработку по вечерам,"[3, 13, 15]"
21,сдамкомнатустудентке,с дам комнату студентке,"[1, 4, 11]"
22,куплюстаруюкнигу,куплю старую книгу,"[5, 11]"
23,ищусобакулабрадор,ищу собакула брадор,"[3, 11]"
24,новыйтелефонXiaomi13,новый телефон Xiaomi 13,"[5, 12, 18]"
25,куплюPlaystation5диск,куплю Playstatio n5 диск,"[5, 15, 17]"
26,ищукомнатувцентрегорода,ищу комнату в центре города,"[3, 10, 11, 17]"
27,срочнонужнаняняребенку,срочно нужна няня ребенку,"[6, 11, 15]"
28,куплюстиральнуюмашинуIndesit,куплю стиральную машину Indesit,"[5, 15, 21]"
29,ищудетскуюкроваткубу,ищу детскую кроватку бу,"[3, 10, 18]"
30,новаякурткадоставка,новая куртка доставка,"[5, 11]"
31,куплювелосипедMerida,куплю велосипед Merida,"[5, 14]"
32,ищуврачаофтальмолога,ищу врача офтальмолога,"[3, 8]"
33,сдаюквартирувцентреМосквы,сдаю квартиру в центреМосквы,"[4, 12, 13]"
34,куплюхолодильникSamsung,куплю холодильник Samsung,"[5, 16]"
35,ищукошкубританскую,ищу кошку британскую,"[3, 8]"
36,новыйноутбукдоставказавтра,новый ноутбук доставка завтра,"[5, 12, 20]"
37,куплюшкафбу,куплюшкафбу,[]
38,ищурепетиторапоистории,ищу репетитора по истории,"[3, 13, 15]"
39,сдаюкомнатубезпосредников,сдаю комнату без посредников,"[4, 11, 14]"
40,куплютелевизорLGOLED,куплю телевизор LGOLED,"[5, 14]"
41,ищуквартирунедорогосрочно,ищу квартиру недорого срочно,"[3, 11, 19]"
42,новыйайфондоставка,новый айфон доставка,"[5, 10]"
43,куплюгитаруYamaha,куплю гитару Yamaha,"[5, 11]"
44,ищустудиюуметро,ищу студию у метро,"[3, 9, 10]"
45,сдамквартирумолодоженам,с дам квартиру молодоженам,"[1, 4, 12]"
46,куплюкомпьютеригровой,куплю компьютер игровой,"[5, 14]"
47,ищуработуповаромвкафе,ищу работу поваром в кафе,"[3, 9, 16, 17]"
48,новыйдиванIkea,новый диван Ikea,"[5, 10]"
49,куплюстарыйноутбук,куплю старый ноутбук,"[5, 11]"
50,ищусобакудобермана,ищу собаку добермана,"[3, 9]"
51,срочносдаюкомнату,срочно сдаю комнату,"[6, 10]"
52,куплюмониторLG,куплю монитор LG,"[5, 12]"
53,ищумастерапосантехнике,ищу мастера по сантехнике,"[3, 10, 12]"
54,новыйстолдоставка,новый стол доставка,"[5, 9]"
55,куплюайфон13мини,куплю айфон 13 мини,"[5, 10, 12]"
56,ищудевушкудляотношений,ищу девушку для отношений,"[3, 10, 13]"
57,сдаюдачуналето,сдаю дачу на лето,"[4, 8, 10]"
58,куплюстиральнуюмашинуLG,куплю стиральную машину LG,"[5, 15, 21]"
59,ищуучителяанглийскогоязыка,ищу учителя английского языка,"[3, 10, 21]"
60,новыйноутбукAsus,новый ноутбук Asus,"[5, 12]"
61,куплюматрасортопедический,куплю матра сортопедический,"[5, 10]"
62,ищукомнатунадлительныйсрок,ищу комнату на длительный срок,"[3, 10, 12, 22]"
63,сдамквартирубеззалога,с дам квартиру без залога,"[1, 4, 12, 15]"
64,куплюхолодильникAtlant,куплю холодильник Atlant,"[5, 16]"
65,ищусобакушпица,ищу собаку шпица,"[3, 9]"
66,новаястиральнаямашинадоставка,новая стиральная машина доставка,"[5, 15, 21]"
67,куплютелевизорSony,куплю телевизор Sony,"[5, 14]"
